Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,TradingSymbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,USDINR,1010321,OPTCUR,CE,79.6,USDINR202370779.6CE,USDINR202370779.6CE,USDINR 07JUL23 79.6 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010322,OPTCUR,PE,79.6,USDINR202370779.6PE,USDINR202370779.6PE,USDINR 07JUL23 79.6 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113090,OPTCUR,CE,79.5,USDINR202370779.5CE,USDINR202370779.5CE,USDINR 07JUL23 79.5 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113083,OPTCUR,PE,79.5,USDINR202370779.5PE,USDINR202370779.5PE,USDINR 07JUL23 79.5 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010323,OPTCUR,CE,79.4,USDINR202370779.4CE,USDINR202370779.4CE,USDINR 07JUL23 79.4 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010324,OPTCUR,PE,79.4,USDINR202370779.4PE,USDINR202370779.4PE,USDINR 07JUL23 79.4 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010325,OPTCUR,CE,79.3,USDINR202370779.3CE,USDINR202370779.3CE,USDINR 07JUL23 79.3 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010326,OPTCUR,PE,79.3,USDINR202370779.3PE,USDINR202370779.3PE,USDINR 07JUL23 79.3 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010327,OPTCUR,CE,79.2,USDINR202370779.2CE,USDINR202370779.2CE,USDINR 07JUL23 79.2 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010328,OPTCUR,PE,79.2,USDINR202370779.2PE,USDINR202370779.2PE,USDINR 07JUL23 79.2 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010772,OPTCUR,CE,79.1,USDINR202370779.1CE,USDINR202370779.1CE,USDINR 07JUL23 79.1 CE,2023-07-07,1,0.0025
